country_iso2,sector,pd,net_profit_margin,debt_equity_ratio,volatility
AE,Oil&Gas,3.8466e-4,0.0766967,0.1178810775,0.2755908425
AE,Power,4.189275e-4,0.08531685,0.11441915,0.2826570625
AE,Steel,4.709e-5,0.2635113,0.03978237,0.22829712
AF,Coal,3.6085e-4,0.09115975,0.07939538,0.36263584
AF,Oil&Gas,3.299e-4,0.0632249,0.12771637,0.24302715
AF,Power,3.797125e-4,0.07192025,0.0744005,0.351044575
AL,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
AL,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
AL,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
AM,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
AO,Automotive,4.147e-4,0.05535165,0.17597492,0.27290464
AO,Oil&Gas,5.3307e-4,0.0990993975,0.13918295,0.28003313500000004
AO,Power,3.9782e-4,0.0716949,0.11733151,0.275562825
AR,Automotive,3.2914e-4,0.049479075,0.1121473775,0.27290464
AR,Coal,1.02745e-4,0.1753005,0.02911371,0.174020275
AR,Oil&Gas,5.2456e-4,0.1619448,0.20496116,0.34020823
AR,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
AR,Steel,2.4183e-4,0.0938409,0.06630509,0.34117707
AT,Automotive,3.2361e-4,0.0539341,0.11441915,0.27290464
AT,Oil&Gas,5.3307e-4,0.07635422,0.1270288475,0.24865039
AT,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
AT,Steel,4.941975e-4,0.0767007,0.072497775,0.34224551375
AU,Coal,3.6483e-4,0.086435475,0.104402455,0.31671155
AU,Oil&Gas,2.4568e-4,0.0581042,0.12093569,0.2360043
AU,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
AU,Steel,2.4227e-4,0.06709185000000001,0.055973145,0.26753675
AZ,Oil&Gas,5.3307e-4,0.08101354,0.12771637,0.2471885775
AZ,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
BA,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
BA,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
BA,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
BB,Oil&Gas,5.2456e-4,0.1619448,0.20496116,0.34020823
BD,Coal,3.6085e-4,0.09115975,0.07939538,0.36263584
BD,Oil&Gas,2.1504500000000005e-4,0.0632249,0.12432603,0.23984724
BD,Power,3.61605e-4,0.07192025,0.0744005,0.351044575
BD,Steel,6.6135e-4,0.0119798,0.08943142,0.50900214
BE,Automotive,3.253725e-4,0.048622409374999995,0.10810519,0.27290464
BE,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
BE,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
BG,Coal,4.91545e-4,0.0715181,0.1136253875,0.3115850375
BG,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
BG,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
BG,Steel,0.00743872,0.07544925,0.01517812,1.0531937
BH,Oil&Gas,4.123475e-4,0.18402455,0.085091635,0.3019694625
BH,Power,4.123475e-4,0.0930798,0.11441915,0.2826570625
BJ,Oil&Gas,6.4677e-4,0.141279,0.1531681,0.32678448
BN,Oil&Gas,2.8741e-4,0.06740045,0.12093569,0.239515725
BN,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
BO,Oil&Gas,4.64205e-4,0.092476025,0.1745342225,0.3013663675
BO,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
BR,Automotive,3.27135e-4,0.0516698,0.11126217,0.27290464
BR,Coal,1.02745e-4,0.1753005,0.02911371,0.174020275
BR,Oil&Gas,5.2456e-4,0.1619448,0.20496116,0.34020823
BR,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
BR,Steel,3.27135e-4,0.07916124999999999,0.104639425,0.34020823
BT,Coal,3.6085e-4,0.09115975,0.07939538,0.36263584
BW,Coal,5.96585e-4,0.141279,0.19668025,0.319775395
BW,Oil&Gas,6.4677e-4,0.141279,0.1531681,0.32678448
BW,Power,3.7239e-4,0.06115345,0.104639425,0.2860330875
BY,Automotive,3.2952000000000003e-4,0.052754999999999996,0.11452672375,0.27290464
BY,Oil&Gas,5.6224e-4,0.07635422,0.157578935,0.27632629
BY,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
BY,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
BZ,Oil&Gas,5.2456e-4,0.1619448,0.20496116,0.34020823
CA,Automotive,3.27135e-4,0.053440937499999994,0.11284066,0.27290464
CA,Coal,3.9073e-4,0.1006005,0.10381813,0.32678448
CA,Oil&Gas,3.5089875e-4,0.0766967,0.12856984,0.24302715
CA,Power,3.9782e-4,0.0660959,0.114531475,0.27297402
CA,Steel,3.3671125e-4,0.064244225,0.08200698249999999,0.31863614
CD,Oil&Gas,6.4677e-4,0.141279,0.1531681,0.32678448
CD,Power,4.4686e-4,0.0692596625,0.09951557,0.32071617
CG,Oil&Gas,5.8992e-4,0.141279,0.1531681,0.32678448
CG,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
CH,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
CH,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
CI,Oil&Gas,5.6224e-4,0.07885512,0.129731665,0.28143086500000003
CI,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
CL,Oil&Gas,5.2456e-4,0.1619448,0.20496116,0.34020823
CL,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
CL,Steel,4.0385e-4,0.0816218,0.14162718,0.27550679
CM,Oil&Gas,5.3307e-4,0.141279,0.14745569375,0.32678448
CM,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
